ID,Name,Website,Description,Geographical extent,"Geographic coverage
Country","Geographic coverage 
NUTS 2021","Responsible
Organization","Responsible 
Organization 
Category","Functions of Government 
(COFOG level I)","Functions of Government 
(COFOG level II)",Status,Start Year,End Year,AI Classification (I),"AI Classification 
Subdomain (II)
(Main)","AI Classification 
Subdomain (II)
(Other I)","AI Classification 
Subdomain (II)
(Other II)","AI Classification 
Subdomain (II)
(Other III)",AI Keywords (III),Process Type,Application Type,Technology,Interaction,Data Scope 1,Data Scope 2,Improved Public Service,Personalized Services,Public (citizen)-centered services,Increase quality of PSI and services,"More responsive, efficient, and cost-effective public services",New services or channels,Improved Administration,Improved Administrative Efficiency,Cost-reduction,Responsiveness of government operation,Improved management of public resources,Increased quality of processes and systems,Better collaboration and better communication,Reduced or eliminate the risk of corruption and abuse of the law by public servants,"Enabled greater fairness, honesty, equality",Open government capabilities,Increased transparency of public sector operations,Increased public participation in government actions and policy making,Improved public control and influence on government actions and policies,Source
340,Infobox criminal and unexplained assets (iCOV),"https://hetccv.nl/onderwerpen/veilige-vakantieparken/overzicht-maatregelen/analyse-icov/
https://www.securitymanagement.nl/big-data-fraude/
https://icov.nl/organisatie/",System provides insight into the assets of individuals and companies based on risk factors. An example is analyzing suspicious transactions in Rotterdam-Zuid.,National,Netherlands,NL,"Public Prosecutor's Office, the National Police, the Tax Authorities, Customs, the FIOD and the Financial Intelligence Unit, the Social Affairs and Employment Inspectorate (Investigation Directorate), the Intelligence and Investigation Service of the Environment and Transport Inspectorate (ILT-IOD), the Intelligence and Investigation Service of the Dutch Food and Consumer Product Safety Authority (NVWA-IOD), the Media Commissioner ",Central-Government,Public order and safety,Police Services,In development,2014,,Planning,Planning and Scheduling,Automated reasoning,,,,Enforcement,Supporting inspection processes,Artificial Intelligence,G2B,Dynamic Data,Streaming Data,Improved Public Service,,,x,,,FALSE,FALSE,,,,,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
341,Inspection bridges with drones,https://datascienceinitiative.eu/wp-content/uploads/2020/05/DSI-AIBinnenDeOverheid.pdf,"Instead of human capacity, drones are used to inspect bridges and viaducts.",National,Netherlands,NL,Rijkswaterstaat and market parties,Central-Government,Economic affairs,Transport,Pilot,2020,,Integration and Interaction,Robotics and Automation,Computer vision,,,,Enforcement,Supporting inspection processes,Artificial Intelligence,G2C,Dynamic Data,Location Data,Improved Public Service,,,x,,,FALSE,FALSE,,,,,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
342,Intelligent traffic control systems (I-VRI's) - Better traffic flow ,https://www.talking-traffic.com/nl/partner-worden-bij-talking-traffic/clusters-en-expertise/intelligente-vri-s,"The province of Gelderland has replaced the existing traffic lights with intelligent traffic control systems (iVRIs) at 8 intersections in Arnhem and Velp. These new installations ensure better flow. The iVRI's use mobile data from road users. For example, buses and emergency services can be given priority when passing through an intersection. In addition, the road user receives up-to-date information about the fastest route through the city and advice on speed. This information allows road users to tailor their traffic behaviour to the current situation. This results in a better flow.",Regional,Netherlands,NL,Province of Gelderland,Local Government,Economic affairs,Transport,In development,2016,,Planning,Planning and Scheduling,Machine learning,,,,Public services and engagement,Service integration (various),Artificial Intelligence,G2G,Dynamic Data,Location Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
343,Use of scan cars for underground containers - Determining type of waste ,https://www.digitaleoverheid.nl/overzicht-van-alle-onderwerpen/nieuwe-technologieen-data-en-ethiek/het-led/toolbox/aan-de-slag-datagedreven-werken-in-de-praktijk/ ,"By means of scan cars that drive around The Hague, photos can be taken of underground containers (ORAC's). Thanks to AI, it is determined what type of waste there is. ",Local,Netherlands,NL,Municipality of The Hague,Local Government,Housing and community amenities,Housing and community amenities n.e.c.,In development,2020,,Perception,Computer vision,Automated reasoning,,,,Enforcement,Smart Recognition processes,Artificial Intelligence,G2B,Dynamic Data,Dynamic Data,Improved Public Service,,,x,,,FALSE,FALSE,,,,,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
344,iRN_iColumbo,https://docplayer.nl/4918688-Projectplan-verduurzaming-irn-icolumbo.html,"A service within the Internet Research &Investigation Network (iRN) of the police where the Internet can be methodically and automatically searched for suspicious material.  TK 2013-2014, 26 643, nr. 298, p. 16",National,Netherlands,NL,Dutch Police,Central-Government,Public order and safety,Police Services,In development,2011,,Learning,Machine learning,Searching,,,,Enforcement,Predictive enforcement processes,Artificial Intelligence,G2G,Dynamic Data,,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
345,Artificial Intelligence Knowledge System for the judiciary searches for similar lawsuits,https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/kamerstukken/2018/12/19/ek-artificiele-intelligentie-en-algoritmen-in-de-rechtspleging/ek-artificiele-intelligentie-en-algoritmen-in-de-rechtspleging.pdf https://www.tweedekamer.nl/kamerstukken/kamervragen/detail?id=2020Z03232&did=2020D11984,Knowledge system searches for similar lawsuits using entered text and gives the user the top 10 most similar lawsuits,Regional,Netherlands,NL,District Court of East Brabant,Local Government,Public order and safety,Law courts,Pilot,2018,,Reasoning,Knowledge representation,Natural language processing,,,,Internal management,Internal support processes,Artificial Intelligence,G2B,Historical Data,Historical Data,Improved Public Service,,x,,x,,Open Government Capabilities,FALSE,,,,,,,,Open government capabilities,x,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
346,LAA - Address quality BRP,"https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/rapporten/2016/03/21/rapport-landelijke-aanpak-adreskwaliteit/rapport-landelijke-aanpak-adreskwaliteit.pdf
https://www.ictu.nl/projecten/landelijke-aanpak-adreskwaliteit",Data analysis used to achieve pattern recognition and to search for incorrect addressing based on this. The aim is to put the BRP in order and ultimately contribute to the fight against fraud.,National,Netherlands,NL,Ministry of Interior,Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",In development,2018,,Planning,Planning and Scheduling,Automated reasoning,,,,Enforcement,Predictive enforcement processes,Artificial Intelligence,G2G,Historical Data,Historical Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
347,Using smart algorithms to map whether building or demolishing certain homes improves liveability,https://nos.nl/artikel/2366864-fraude-opsporen-of-gevaar-van-discriminatie-gemeenten-gebruiken-slimme-algoritmes.html,The Municipality of Breda uses smart algorithms to investigate whether building or demolishing certain types of homes improves the quality of life.,Local,Netherlands,NL,Municipality of Breda,Local Government,Housing and community amenities,Housing development.,In development,2021,,Planning,Planning and Scheduling,Automated reasoning,,,,"Analysis, monitoring and regulatory research",Prediction and planning ,Artificial Intelligence,G2B,Historical Data,Historical Data,Improved Public Service,,,x,x,,Open Government Capabilities,FALSE,,,,,,,,Open government capabilities,,x,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
348,Tackling undermining using AI,https://www.rvo.nl/subsidie-en-financieringswijzer/sbir/sbir-oproep-artifici%C3%ABle-intelligentie-voor-de-publieke-diensten/publieke-samenvattingen ,"With a mobile app and web portal, Milvum can pass on suspicions of subversion (such as illegal prostitution or drug production) directly to the municipality. The addition of AI functionality (e.g. big data analysis) will take the platform one step further; for example by better identifying, categorising and prioritising subversive crime.",Local,Netherlands,NL,Milvum B.V.,Private sector,Public order and safety,Public order and safety n.e.c.,Implemented,2021,,Learning,Machine learning,Searching,,,,Enforcement,Predictive enforcement processes,Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
349,Detecting 'unknown' companies with environmental risk,https://www.digitaleoverheid.nl/nieuws/data-project-eindhoven-maakt-onvindbare-bedrijven-vindbaar/,Mapping unknown companies that pose a potential environmental risk by making smart use of data.,Local,Netherlands,NL,Municipality of Eindhoven,Local Government,Economic affairs,"General economic, commercial and labour affair",Implemented,2017,,Planning,Planning and Scheduling,Automated reasoning,,,,Enforcement,Predictive enforcement processes,Artificial Intelligence,G2G,Historical Data,Historical Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,x,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
350,Detecting welfare fraud - Prediction of the likelihood of unlawful behavior,https://www.gemeentennl.nl/digitaal/inkoop-van-ai-door-gemeenten-3x-transparanter/en    https://www.nissewaard.nl/werk-en-inkomen/werk-en-inkomen_to/voorspelmodel-bijstandsfraude.htm en Gemeente Nissewaard. (z.d.). Infographic hoe controleren we de uitvoering van de bijstand? Opgevraagd van: https://www.nissewaard.nl/contact/contact_to/de-avg-in-nissewaard.htm ,"The municipality of Nissewaard uses AI to detect welfare fraud. The algorithm maps patterns in data that indicate an increased risk of wrongdoing. Based on these patterns, the algorithm predicts the likelihood of unlawful behavior for each client. ",Local,Netherlands,NL,"Totta Datalab, municipality of Nissewaard, municipality of Brielle",Local Government,Social protection,Social protection n.e.c.,In development,2017,,Planning,Planning and Scheduling,Automated reasoning,,,,Enforcement,Predictive enforcement processes,Artificial Intelligence,G2G,Historical Data,Historical Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
351,Detecting welfare fraud in the municipality of Deventer and Goirle,https://nos.nl/artikel/2366864-fraude-opsporen-of-gevaar-van-discriminatie-gemeenten-gebruiken-slimme-algoritmes.html,"Generating risk profiles of welfare recipients. On the basis of the risk score, it is determined whether a dossier is additionally investigated.",Local,Netherlands,NL,"Municipality of Deventer, Municipality of Goirle",Local Government,Social protection,Social protection n.e.c.,Pilot,2021,,Planning,Planning and Scheduling,Machine learning,,,,Enforcement,Predictive enforcement processes,Artificial Intelligence,G2G,Historical Data,Historical Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
352,Detection of crime and subversion,https://nos.nl/artikel/2366864-fraude-opsporen-of-gevaar-van-discriminatie-gemeenten-gebruiken-slimme-algoritmes.html,The municipality of Leudal uses algorithms to detect crime and subversion: in buildings where the paperwork smacks of suspicious cases. ,Local,Netherlands,NL,Municipality of Leudal,Local Government,Public order and safety,Public order and safety n.e.c.,In development,2021,,Planning,Planning and Scheduling,Machine learning,,,,Enforcement,Supporting inspection processes,Artificial Intelligence,G2G,Historical Data,Historical Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
353,Detection of crime and subversion in the municipality of Dronten,https://nos.nl/artikel/2366864-fraude-opsporen-of-gevaar-van-discriminatie-gemeenten-gebruiken-slimme-algoritmes.html,Dronten Municipality has an experiment under way to investigate how algorithms can be used to detect subversive crime,Local,Netherlands,NL,Municipality of Dronten,Local Government,Public order and safety,Public order and safety n.e.c.,Pilot,2021,,Planning,Planning and Scheduling,Machine learning,,,,Enforcement,Predictive enforcement processes,Artificial Intelligence,G2G,Historical Data,Historical Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag."
